code,network,name,latitude,longitude,elevation,created_at
CIKJI,IA,Cibuaya-Karawang,-6.041924,107.347374,,2025-02-06 11:35:03
CILJI,IA,Cibeber,-6.822,106.316,,2025-02-06 11:35:03
CMJI,IA,Cimerak,-7.7837,108.4486,,2025-02-06 11:35:03
CNJI,IA,Cibinong,-7.3091,107.1296,,2025-02-06 11:35:03
CSBJI,IA,Compreng,-6.404687,107.881737,,2025-02-06 11:35:03
CSJI,IA,Ciracap,-7.3301,106.52107,,2025-02-06 11:35:03
CSJM,IA,Congeang,-6.7405,108.0099,,2025-02-06 11:35:03
CTJI,IA,WadukCacaban,-7.0075,109.1835,,2025-02-06 11:35:03
CWJM,IA,CikalongWetan,-6.7423,107.4448,,2025-02-06 11:35:03
DBJI,IA,Dramaga,-6.5542,106.7436,,2025-02-06 11:35:03
DBKI,IA,DusunSelatan,-1.6792,114.9081,,2025-02-06 11:35:03
DBNFM,IA,Donggo,-8.424,118.5948,,2025-02-06 11:35:03
DDSI,IA,DumaiTimur,1.6677,101.4603,,2025-02-06 11:35:03
DNP,IA,Denpasar,-8.6773,115.2097,,2025-02-06 11:35:03
DOCM,IA,Donggala,-0.6758,119.7487,,2025-02-06 11:35:03
DYPI,IA,Dekai,-4.8521,139.4991,,2025-02-06 11:35:03
EDFI,IA,Ende,-8.7497,121.6903,,2025-02-06 11:35:03
EDMPI,IA,Edera,-7.175,139.585,,2025-02-06 11:35:03
EGSI,IA,Enggano,-5.3526,102.2767,,2025-02-06 11:35:03
ELMPI,IA,Eligobel,-7.489,140.789,,2025-02-06 11:35:03
ESNI,IA,Empang,-8.7875,117.965843,,2025-02-06 11:35:03
FAKI,IA,Fakfak,-2.9192,132.265,,2025-02-06 11:35:03
FKMPM,IA,Kurik,-8.2515,140.2666,,2025-02-06 11:35:03
FKSPI,IA,Sawiat,-1.1594,132.016,,2025-02-06 11:35:03
GARPI,IA,PulauGag,-0.43465,129.900,,2025-02-06 11:35:03
GBJI,IA,Gringsing,-6.9533,109.9762,,2025-02-06 11:35:03
GEBBI,IA,Gerokgak,-8.164,114.714,,2025-02-06 11:35:03
GEJI,IA,Gedangan,-8.3469,112.5901,,2025-02-06 11:35:03
GENI,IA,Genyem,-2.5926,140.1677,,2025-02-06 11:35:03
GESM,IA,Geumpang,4.8421,96.1278,,2025-02-06 11:35:03
GGJM,IA,Gabus,-7.171615,111.203525,,2025-02-06 11:35:03
GHMI,IA,GaneBarat,-0.3563,127.8497,,2025-02-06 11:35:03
GKJM,IA,Gedangsari,-7.8411,110.5922,,2025-02-06 11:35:03
GMJI,IA,Gumukmas,-8.2732,113.4441,,2025-02-06 11:35:03
GPSM,IA,Geumpang,4.869346,96.090423,,2025-02-06 11:35:03
GRJI,IA,Gresik,-6.9145,112.4793,,2025-02-06 11:35:03
GSI,IA,Gunungsitoli,1.3036,97.5754,,2025-02-06 11:35:03
GTJI,IA,Gemawang,-7.1638,110.184,,2025-02-06 11:35:03
GTOI,IA,Gorontalo,0.7628,122.87,,2025-02-06 11:35:03
GTSI,IA,GunungToar,-0.5981,101.4887,,2025-02-06 11:35:03
GUJM,IA,Gubug,-7.054276,110.666353,,2025-02-06 11:35:03
